,sto_loc,LU,GMRES
0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],True,1
1,"[ 0.03125  0.34375  0.09375  0.03125 -0.21875  0.21875  0.28125  0.09375
 -0.34375 -0.03125]",False,4
2,"[-0.03125 -0.34375 -0.09375 -0.03125  0.21875 -0.21875 -0.28125 -0.09375
  0.34375  0.03125]",False,4
3,"[-0.09375 -0.03125 -0.28125 -0.09375 -0.34375  0.34375  0.15625 -0.28125
  0.03125  0.09375]",False,5
4,"[ 0.09375  0.03125  0.28125  0.09375  0.34375 -0.34375 -0.15625  0.28125
 -0.03125 -0.09375]",False,4
5,"[-0.0625  0.3125 -0.1875 -0.0625  0.4375 -0.4375  0.4375 -0.1875 -0.3125
  0.0625]",False,4
6,"[ 0.0625 -0.3125  0.1875  0.0625 -0.4375  0.4375 -0.4375  0.1875  0.3125
 -0.0625]",False,3
7,[-0.125 -0.375 -0.375 -0.125 -0.125  0.125 -0.125 -0.375  0.375  0.125],False,5
8,[ 0.125  0.375  0.375  0.125  0.125 -0.125  0.125  0.375 -0.375 -0.125],False,5
9,"[-0.1875 -0.0625  0.4375 -0.1875  0.3125 -0.3125  0.3125  0.4375  0.0625
  0.1875]",False,5
10,"[ 0.1875  0.0625 -0.4375  0.1875 -0.3125  0.3125 -0.3125 -0.4375 -0.0625
 -0.1875]",False,4
11,"[-0.15625  0.28125 -0.46875 -0.15625  0.09375 -0.09375 -0.40625 -0.46875
 -0.28125  0.15625]",False,4
12,"[ 0.15625 -0.28125  0.46875  0.15625 -0.09375  0.09375  0.40625  0.46875
  0.28125 -0.15625]",False,4
13,"[ 0.28125  0.09375 -0.15625  0.28125  0.03125 -0.03125 -0.46875 -0.15625
 -0.09375 -0.28125]",False,5
14,"[-0.28125 -0.09375  0.15625 -0.28125 -0.03125  0.03125  0.46875  0.15625
  0.09375  0.28125]",False,5
15,[ 0.25 -0.25 -0.25  0.25  0.25 -0.25  0.25 -0.25  0.25 -0.25],False,5
16,[-0.25  0.25  0.25 -0.25 -0.25  0.25 -0.25  0.25 -0.25  0.25],False,4
17,"[ 0.21875  0.40625 -0.34375  0.21875  0.46875 -0.46875 -0.03125 -0.34375
 -0.40625 -0.21875]",False,5
18,"[-0.21875 -0.40625  0.34375 -0.21875 -0.46875  0.46875  0.03125  0.34375
  0.40625  0.21875]",False,5
19,"[ 0.34375 -0.21875  0.03125  0.34375 -0.40625  0.40625  0.09375  0.03125
  0.21875 -0.34375]",False,5
20,"[-0.34375  0.21875 -0.03125 -0.34375  0.40625 -0.40625 -0.09375 -0.03125
 -0.21875  0.34375]",False,5
21,"[ 0.3125  0.4375 -0.0625  0.3125 -0.1875  0.1875 -0.1875 -0.0625 -0.4375
 -0.3125]",False,5
22,"[-0.3125 -0.4375  0.0625 -0.3125  0.1875 -0.1875  0.1875  0.0625  0.4375
  0.3125]",False,5
23,[ 0.375  0.125  0.125  0.375  0.375 -0.375  0.375  0.125 -0.125 -0.375],False,5
24,[-0.375 -0.125 -0.125 -0.375 -0.375  0.375 -0.375 -0.125  0.125  0.375],False,5
25,"[-0.4375  0.1875 -0.3125 -0.4375  0.0625 -0.0625  0.0625 -0.3125 -0.1875
  0.4375]",False,6
26,"[ 0.4375 -0.1875  0.3125  0.4375 -0.0625  0.0625 -0.0625  0.3125  0.1875
 -0.4375]",False,5
27,"[ 0.40625  0.46875  0.21875  0.40625  0.15625 -0.15625 -0.34375  0.21875
 -0.46875 -0.40625]",False,6
28,"[-0.40625 -0.46875 -0.21875 -0.40625 -0.15625  0.15625  0.34375 -0.21875
  0.46875  0.40625]",False,6
29,"[ 0.46875  0.15625  0.40625  0.46875 -0.28125  0.28125  0.21875  0.40625
 -0.15625 -0.46875]",False,6
30,"[-0.46875 -0.15625 -0.40625 -0.46875  0.28125 -0.28125 -0.21875 -0.40625
  0.15625  0.46875]",False,6
31,[-0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5],False,6
