,sto_loc,LU,GMRES
0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],True,1
1,"[-0.03070068 -0.00177002  0.02508545 -0.05804443  0.05279541 -0.08795166
  0.1494751   0.07000732  0.10919189 -0.40289307]",False,6
2,"[ 0.03070068  0.00177002 -0.02508545  0.05804443 -0.05279541  0.08795166
 -0.1494751  -0.07000732 -0.10919189  0.40289307]",False,6
3,"[ 0.0020752   0.06970215  0.11560059  0.0098877  -0.18249512  0.04968262
  0.18273926  0.17419434  0.1138916  -0.3067627 ]",False,6
4,"[-0.0020752  -0.06970215 -0.11560059 -0.0098877   0.18249512 -0.04968262
 -0.18273926 -0.17419434 -0.1138916   0.3067627 ]",False,6
5,"[-0.01391602  0.00317383 -0.01049805  0.34545898 -0.12915039  0.01977539
  0.42163086  0.18481445 -0.05786133 -0.00170898]",False,6
6,"[ 0.01391602 -0.00317383  0.01049805 -0.34545898  0.12915039 -0.01977539
 -0.42163086 -0.18481445  0.05786133  0.00170898]",False,6
7,"[-0.00286865 -0.00811768  0.04608154  0.2510376   0.31109619 -0.12750244
  0.30621338 -0.29962158  0.22491455 -0.3994751 ]",False,6
8,"[ 0.00286865  0.00811768 -0.04608154 -0.2510376  -0.31109619  0.12750244
 -0.30621338  0.29962158 -0.22491455  0.3994751 ]",False,6
9,"[ 0.00610352 -0.08911133 -0.01293945  0.14672852 -0.06616211 -0.32446289
  0.00805664  0.04174805  0.39379883 -0.49047852]",False,5
10,"[-0.00610352  0.08911133  0.01293945 -0.14672852  0.06616211  0.32446289
 -0.00805664 -0.04174805 -0.39379883  0.49047852]",False,5
11,"[-0.01104736  0.0112915  -0.05657959  0.09442139 -0.44024658  0.14727783
  0.11541748  0.48443604 -0.28277588  0.39776611]",False,5
12,"[ 0.01104736 -0.0112915   0.05657959 -0.09442139  0.44024658 -0.14727783
 -0.11541748 -0.48443604  0.28277588 -0.39776611]",False,5
13,"[ 0.00817871 -0.01940918  0.10266113  0.15661621 -0.24865723 -0.27478027
  0.1907959   0.21594238 -0.49230957  0.20275879]",False,5
14,"[-0.00817871  0.01940918 -0.10266113 -0.15661621  0.24865723  0.27478027
 -0.1907959  -0.21594238  0.49230957 -0.20275879]",False,5
15,"[-0.00860596 -0.02435303  0.13824463 -0.24688721 -0.06671143 -0.38250732
 -0.08135986  0.10113525 -0.32525635 -0.19842529]",False,6
16,"[ 0.00860596  0.02435303 -0.13824463  0.24688721  0.06671143  0.38250732
  0.08135986 -0.10113525  0.32525635  0.19842529]",False,6
17,"[-0.01678467 -0.00494385  0.0355835  -0.40350342  0.1819458  -0.10772705
 -0.27215576 -0.11480713  0.16705322 -0.40118408]",False,6
18,"[ 0.01678467  0.00494385 -0.0355835   0.40350342 -0.1819458   0.10772705
  0.27215576  0.11480713 -0.16705322  0.40118408]",False,6
19,"[ 0.00250244  0.11346436 -0.12530518  0.10015869  0.13287354 -0.29302979
  0.07330322 -0.1428833  -0.06854248 -0.31109619]",False,5
20,"[-0.00250244 -0.11346436  0.12530518 -0.10015869 -0.13287354  0.29302979
 -0.07330322  0.1428833   0.06854248  0.31109619]",False,5
21,"[ 0.02783203 -0.00634766  0.02099609  0.30908203  0.25830078 -0.03955078
  0.15673828 -0.36962891  0.11572266  0.00341797]",False,7
22,"[-0.02783203  0.00634766 -0.02099609 -0.30908203 -0.25830078  0.03955078
 -0.15673828  0.36962891 -0.11572266 -0.00341797]",False,7
23,"[ 0.00042725  0.04376221 -0.24090576  0.090271    0.31536865 -0.3427124
 -0.10943604 -0.31707764 -0.18243408 -0.0043335 ]",False,5
24,"[-0.00042725 -0.04376221  0.24090576 -0.090271   -0.31536865  0.3427124
  0.10943604  0.31707764  0.18243408  0.0043335 ]",False,5
25,"[ 0.01147461  0.0324707  -0.18432617 -0.00415039 -0.24438477 -0.48999023
 -0.22485352  0.19848633  0.1003418  -0.40209961]",False,6
26,"[-0.01147461 -0.0324707   0.18432617  0.00415039  0.24438477  0.48999023
  0.22485352 -0.19848633 -0.1003418   0.40209961]",False,6
27,"[ 0.00079346 -0.06158447 -0.16168213 -0.26092529 -0.12860107  0.07781982
 -0.48895264  0.12542725 -0.33880615 -0.29376221]",False,7
28,"[-0.00079346  0.06158447  0.16168213  0.26092529  0.12860107 -0.07781982
  0.48895264 -0.12542725  0.33880615  0.29376221]",False,7
29,"[ 0.00457764  0.1831665  -0.00970459  0.11004639 -0.04962158 -0.24334717
  0.25604248  0.03131104  0.04534912  0.38214111]",False,7
30,"[-0.00457764 -0.1831665   0.00970459 -0.11004639  0.04962158  0.24334717
 -0.25604248 -0.03131104 -0.04534912 -0.38214111]",False,7
31,"[ 0.00897217 -0.08099365 -0.059021   -0.10430908 -0.3772583  -0.19696045
 -0.29815674  0.34136963  0.16888428 -0.09100342]",False,6
32,"[-0.00897217  0.08099365  0.059021    0.10430908  0.3772583   0.19696045
  0.29815674 -0.34136963 -0.16888428  0.09100342]",False,6
33,"[-0.02209473  0.02258301 -0.11315918  0.18884277  0.11950684  0.29455566
  0.23083496 -0.03112793  0.43444824 -0.20446777]",False,6
34,"[ 0.02209473 -0.02258301  0.11315918 -0.18884277 -0.11950684 -0.29455566
 -0.23083496  0.03112793 -0.43444824  0.20446777]",False,6
35,"[-0.00939941  0.03723145  0.29992676  0.01403809  0.06188965 -0.46032715
  0.40759277 -0.02429199  0.0135498   0.09533691]",False,6
36,"[ 0.00939941 -0.03723145 -0.29992676 -0.01403809 -0.06188965  0.46032715
 -0.40759277  0.02429199 -0.0135498  -0.09533691]",False,6
37,"[-0.01922607  0.03070068 -0.15924072 -0.06219482 -0.19158936  0.42205811
 -0.07537842  0.26849365  0.20953369  0.19500732]",False,6
38,"[ 0.01922607 -0.03070068  0.15924072  0.06219482  0.19158936 -0.42205811
  0.07537842 -0.26849365 -0.20953369 -0.19500732]",False,6
39,"[-0.02459717 -0.09088135  0.012146    0.08868408 -0.0133667  -0.41241455
  0.15753174  0.11175537 -0.49700928  0.10662842]",False,7
40,"[ 0.02459717  0.09088135 -0.012146   -0.08868408  0.0133667   0.41241455
 -0.15753174 -0.11175537  0.49700928 -0.10662842]",False,7
41,"[-0.01312256 -0.05841064 -0.17218018  0.08453369 -0.25775146  0.09759521
 -0.06732178  0.3102417  -0.39666748 -0.29547119]",False,6
42,"[ 0.01312256  0.05841064  0.17218018 -0.08453369  0.25775146 -0.09759521
  0.06732178 -0.3102417   0.39666748  0.29547119]",False,6
43,"[-0.01599121 -0.06652832 -0.12609863  0.33557129  0.05334473 -0.02990723
  0.2388916   0.01062012 -0.17175293  0.30505371]",False,6
44,"[ 0.01599121  0.06652832  0.12609863 -0.33557129 -0.05334473  0.02990723
 -0.2388916  -0.01062012  0.17175293 -0.30505371]",False,6
45,"[-0.03277588 -0.07147217 -0.09051514 -0.06793213  0.23529053 -0.13763428
 -0.03326416 -0.10418701 -0.00469971 -0.09613037]",False,7
46,"[ 0.03277588  0.07147217  0.09051514  0.06793213 -0.23529053  0.13763428
  0.03326416  0.10418701  0.00469971  0.09613037]",False,7
47,"[ 0.04174805 -0.00952148  0.03149414 -0.03637695  0.38745117 -0.05932617
 -0.26489258  0.44555664  0.17358398  0.00512695]",False,7
48,"[-0.04174805  0.00952148 -0.03149414  0.03637695 -0.38745117  0.05932617
  0.26489258 -0.44555664 -0.17358398 -0.00512695]",False,7
49,"[ 0.01965332  0.01306152 -0.08166504  0.15246582 -0.49304199  0.23522949
 -0.03405762  0.41442871 -0.39196777 -0.19934082]",False,6
50,"[-0.01965332 -0.01306152  0.08166504 -0.15246582  0.49304199 -0.23522949
  0.03405762 -0.41442871  0.39196777  0.19934082]",False,6
51,"[-0.0032959  -0.05187988  0.2869873   0.1607666  -0.00427246  0.21520996
  0.41564941  0.01745605  0.40734863 -0.3951416 ]",False,6
