,sto_loc,LU,GMRES
0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],True,1
1,"[-0.015625 -0.171875 -0.046875 -0.015625 -0.390625  0.390625 -0.140625
  0.453125 -0.328125  0.015625]",False,4
2,"[ 0.015625  0.171875  0.046875  0.015625  0.390625 -0.390625  0.140625
 -0.453125  0.328125 -0.015625]",False,4
3,"[-0.03125 -0.34375 -0.09375 -0.03125  0.21875 -0.21875 -0.28125 -0.09375
  0.34375  0.03125]",False,5
4,"[ 0.03125  0.34375  0.09375  0.03125 -0.21875  0.21875  0.28125  0.09375
 -0.34375 -0.03125]",False,5
5,"[ 0.078125 -0.140625  0.234375  0.078125 -0.046875  0.046875 -0.296875
 -0.265625 -0.359375 -0.078125]",False,5
6,"[-0.078125  0.140625 -0.234375 -0.078125  0.046875 -0.046875  0.296875
  0.265625  0.359375  0.078125]",False,4
7,"[ 0.09375  0.03125  0.28125  0.09375  0.34375 -0.34375 -0.15625  0.28125
 -0.03125 -0.09375]",False,5
8,"[-0.09375 -0.03125 -0.28125 -0.09375 -0.34375  0.34375  0.15625 -0.28125
  0.03125  0.09375]",False,5
9,"[-0.0625  0.3125 -0.1875 -0.0625  0.4375 -0.4375  0.4375 -0.1875 -0.3125
  0.0625]",False,4
10,"[ 0.0625 -0.3125  0.1875  0.0625 -0.4375  0.4375 -0.4375  0.1875  0.3125
 -0.0625]",False,4
11,"[ 0.046875 -0.484375  0.140625  0.046875  0.171875 -0.171875  0.421875
 -0.359375 -0.015625 -0.046875]",False,4
12,"[-0.046875  0.484375 -0.140625 -0.046875 -0.171875  0.171875 -0.421875
  0.359375  0.015625  0.046875]",False,4
13,"[-0.109375 -0.203125 -0.328125 -0.109375  0.265625 -0.265625  0.015625
  0.171875 -0.296875  0.109375]",False,5
14,"[ 0.109375  0.203125  0.328125  0.109375 -0.265625  0.265625 -0.015625
 -0.171875  0.296875 -0.109375]",False,5
15,[ 0.125  0.375  0.375  0.125  0.125 -0.125  0.125  0.375 -0.375 -0.125],False,5
16,[-0.125 -0.375 -0.375 -0.125 -0.125  0.125 -0.125 -0.375  0.375  0.125],False,5
17,"[ 0.171875 -0.109375 -0.484375  0.171875  0.296875 -0.296875 -0.453125
  0.015625 -0.390625 -0.171875]",False,5
18,"[-0.171875  0.109375  0.484375 -0.171875 -0.296875  0.296875  0.453125
 -0.015625  0.390625  0.171875]",False,5
19,"[ 0.1875  0.0625 -0.4375  0.1875 -0.3125  0.3125 -0.3125 -0.4375 -0.0625
 -0.1875]",False,5
20,"[-0.1875 -0.0625  0.4375 -0.1875  0.3125 -0.3125  0.3125  0.4375  0.0625
  0.1875]",False,5
21,"[ 0.15625 -0.28125  0.46875  0.15625 -0.09375  0.09375  0.40625  0.46875
  0.28125 -0.15625]",False,5
22,"[-0.15625  0.28125 -0.46875 -0.15625  0.09375 -0.09375 -0.40625 -0.46875
 -0.28125  0.15625]",False,5
23,"[-0.203125 -0.234375  0.390625 -0.203125 -0.078125  0.078125  0.171875
 -0.109375 -0.265625  0.203125]",True,1
24,"[-0.21875 -0.40625  0.34375 -0.21875 -0.46875  0.46875  0.03125  0.34375
  0.40625  0.21875]",False,4
25,"[-0.28125 -0.09375  0.15625 -0.28125 -0.03125  0.03125  0.46875  0.15625
  0.09375  0.28125]",False,4
26,"[-0.296875 -0.265625  0.109375 -0.296875 -0.421875  0.421875  0.328125
 -0.390625 -0.234375  0.296875]",False,5
27,[-0.25  0.25  0.25 -0.25 -0.25  0.25 -0.25  0.25 -0.25  0.25],False,4
28,"[-0.265625  0.078125  0.203125 -0.265625  0.359375 -0.359375 -0.390625
 -0.296875  0.421875  0.265625]",False,4
29,"[-0.3125 -0.4375  0.0625 -0.3125  0.1875 -0.1875  0.1875  0.0625  0.4375
  0.3125]",False,5
30,"[-0.234375  0.421875  0.296875 -0.234375  0.140625 -0.140625 -0.109375
 -0.203125  0.078125  0.234375]",False,5
31,[-0.375 -0.125 -0.125 -0.375 -0.375  0.375 -0.375 -0.125  0.125  0.375],False,5
32,"[-0.390625 -0.296875 -0.171875 -0.390625  0.234375 -0.234375  0.484375
  0.328125 -0.203125  0.390625]",True,1
33,"[-0.40625 -0.46875 -0.21875 -0.40625 -0.15625  0.15625  0.34375 -0.21875
  0.46875  0.40625]",False,4
34,"[-0.359375  0.046875 -0.078125 -0.359375  0.015625 -0.015625 -0.234375
  0.421875  0.453125  0.359375]",False,5
35,"[-0.46875 -0.15625 -0.40625 -0.46875  0.28125 -0.28125 -0.21875 -0.40625
  0.15625  0.46875]",False,4
36,"[-0.484375 -0.328125 -0.453125 -0.484375 -0.109375  0.109375 -0.359375
  0.046875 -0.171875  0.484375]",False,5
37,"[-0.4375  0.1875 -0.3125 -0.4375  0.0625 -0.0625  0.0625 -0.3125 -0.1875
  0.4375]",False,4
38,"[-0.34375  0.21875 -0.03125 -0.34375  0.40625 -0.40625 -0.09375 -0.03125
 -0.21875  0.34375]",False,5
39,"[-0.453125  0.015625 -0.359375 -0.453125 -0.328125  0.328125 -0.078125
  0.140625  0.484375  0.453125]",False,4
40,"[-0.421875  0.359375 -0.265625 -0.421875  0.453125 -0.453125  0.203125
  0.234375  0.140625  0.421875]",False,5
41,[-0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5 -0.5],False,5
42,"[-0.328125  0.390625  0.015625 -0.328125 -0.203125  0.203125  0.046875
 -0.484375  0.109375  0.328125]",False,5
43,"[-0.140625  0.453125 -0.421875 -0.140625  0.484375 -0.484375 -0.265625
  0.078125  0.046875  0.140625]",True,1
44,"[ 0.21875  0.40625 -0.34375  0.21875  0.46875 -0.46875 -0.03125 -0.34375
 -0.40625 -0.21875]",True,1
45,"[ 0.203125  0.234375 -0.390625  0.203125  0.078125 -0.078125 -0.171875
  0.109375  0.265625 -0.203125]",False,4
46,"[ 0.296875  0.265625 -0.109375  0.296875  0.421875 -0.421875 -0.328125
  0.390625  0.234375 -0.296875]",False,4
47,"[ 0.3125  0.4375 -0.0625  0.3125 -0.1875  0.1875 -0.1875 -0.0625 -0.4375
 -0.3125]",False,5
48,"[ 0.28125  0.09375 -0.15625  0.28125  0.03125 -0.03125 -0.46875 -0.15625
 -0.09375 -0.28125]",False,4
49,[ 0.25 -0.25 -0.25  0.25  0.25 -0.25  0.25 -0.25  0.25 -0.25],False,5
50,"[ 0.265625 -0.078125 -0.203125  0.265625 -0.359375  0.359375  0.390625
  0.296875 -0.421875 -0.265625]",False,5
51,"[ 0.234375 -0.421875 -0.296875  0.234375 -0.140625  0.140625  0.109375
  0.203125 -0.078125 -0.234375]",False,5
52,[ 0.375  0.125  0.125  0.375  0.375 -0.375  0.375  0.125 -0.125 -0.375],False,5
53,"[ 0.40625  0.46875  0.21875  0.40625  0.15625 -0.15625 -0.34375  0.21875
 -0.46875 -0.40625]",True,1
54,"[ 0.390625  0.296875  0.171875  0.390625 -0.234375  0.234375 -0.484375
 -0.328125  0.203125 -0.390625]",False,4
55,"[ 0.484375  0.328125  0.453125  0.484375  0.109375 -0.109375  0.359375
 -0.046875  0.171875 -0.484375]",False,4
56,"[ 0.453125 -0.015625  0.359375  0.453125  0.328125 -0.328125  0.078125
 -0.140625 -0.484375 -0.453125]",False,4
57,"[ 0.46875  0.15625  0.40625  0.46875 -0.28125  0.28125  0.21875  0.40625
 -0.15625 -0.46875]",False,4
58,"[ 0.359375 -0.046875  0.078125  0.359375 -0.015625  0.015625  0.234375
 -0.421875 -0.453125 -0.359375]",False,5
59,"[ 0.4375 -0.1875  0.3125  0.4375 -0.0625  0.0625 -0.0625  0.3125  0.1875
 -0.4375]",False,5
60,"[ 0.421875 -0.359375  0.265625  0.421875 -0.453125  0.453125 -0.203125
 -0.234375 -0.140625 -0.421875]",False,5
61,"[ 0.34375 -0.21875  0.03125  0.34375 -0.40625  0.40625  0.09375  0.03125
  0.21875 -0.34375]",True,1
62,"[ 0.328125 -0.390625 -0.015625  0.328125  0.203125 -0.203125 -0.046875
  0.484375 -0.109375 -0.328125]",False,4
63,"[ 0.140625 -0.453125  0.421875  0.140625 -0.484375  0.484375  0.265625
 -0.078125 -0.046875 -0.140625]",False,5
